"hora_id_ref","id_linha","sentido_linha","let_cod_linha","let_destino","let_origem","meta_qtde_onibus"
"00",372,1,"2088-10","TERM. A. E. CARVALHO","CONJ. ENCOSTA NORTE",1
"00",398,1,"2772-10","METRÔ PENHA","JD. NAZARÉ",3
"00",34404,2,"425E-10","JD. ESTER","TERM. SAPOPEMBA",1
"00",34840,2,"8705-10","ANHANGABAÚ","SHOP. CONTINENTAL",1
"00",1175,1,"6091-10","TERM. STO. AMARO","VARGEM GRANDE",2
"00",33906,2,"5759-10","METRÔ CONCEIÇÃO","PQ. PRIMAVERA",1
"00",46,1,"6500-10","TERM. BANDEIRA","TERM. STO. AMARO",1
"00",1715,1,"524L-10","METRÔ TATUAPÉ","PQ. SÃO LUCAS",1
"00",33320,2,"1758-10","METRÔ SANTANA","JD. ANTÁRTICA",1
"00",2402,1,"N637-11","VL. MISSIONÁRIA","METRÔ JABAQUARA",1
"00",35106,2,"N304-11","TERM. ARICANDUVA","TERM. SÃO MIGUEL",1
"00",34033,2,"8400-10","PÇA. RAMOS DE AZEVEDO","TERM. PIRITUBA",1
"00",34962,2,"407A-10","LGO. DA CONCÓRDIA","SHOP. ARICANDUVA",1
"00",34956,2,"4015-10","JD. RODOLFO PIRANI","TERM. SÃO MATEUS",1
"00",34283,2,"5614-10","PÇA. JOÃO MENDES","ELDORADO",3
"00",34114,2,"8016-10","TERM. PIRITUBA","JD. RINCÃO",1
"00",33040,2,"546T-10","TERM. STO. AMARO","VL. GUACURI",2
"00",33534,2,"408A-10","CARDOSO DE ALMEIDA","MACHADO DE ASSIS",1
"00",718,1,"2290-10","TERM. PQ. D. PEDRO II","TERM. SÃO MATEUS",4
"00",32780,2,"6835-10","TERM. CAPELINHA","VALO VELHO",1
"00",1760,1,"2734-10","METRÔ ITAQUERA","JD. CAMPOS",3
"00",34425,2,"5705-10","METRÔ VERGUEIRO","TERM. SACOMÃ",1
"00",796,1,"775F-10","HOSP. DAS CLÍNICAS","JD. DAS PALMAS",1
"00",34965,2,"407H-10","METRÔ ITAQUERA","JD. SÃO FRANCISCO",2
"00",33967,2,"695Y-41","COL. STA. MARIA","TERM. PARELHEIROS",1
"00",707,1,"9166-10","TERM. CACHOEIRINHA","JD. STA. CRUZ",1
"00",35050,2,"N101-11","TERM. PQ. D. PEDRO II","TERM. LAPA",1
"00",2391,1,"N539-11","HOSP. HELIÓPOLIS","TERM. SACOMÃ",1
"00",35080,2,"N202-11","TERM. PINHEIROS","METRÔ SANTANA",1
"00",188,1,"6014-10","TERM. STO. AMARO","TERM. JD. JACIRA",1
"00",2183,1,"4010-10","TERM. VL. CARRÃO","JD. NSA. SRA. DO CARMO",1
"00",33328,2,"178L-10","HOSP. DAS CLÍNICAS","LAUZANE PAULISTA",1
"00",33806,2,"3738-10","METRÔ ITAQUERA","COHAB JUSCELINO",2
"00",33460,2,"2123-10","LIBERDADE","VL. MEDEIROS",1
"00",34838,2,"8018-10","METRÔ MORUMBI","VL. SÔNIA",1
"00",33871,2,"4033-10","NOVA CONQUISTA","JD. GUAIRACÁ",1
